,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
189,06111,48,Vietnamese alone in any combination,4712,8.33556426989329,39277.17883973718,,154.4067834780195
2210,06013,48,Vietnamese alone in any combination,9899,8.44669782001382,83613.86172031681,,48.35016220052451
3919,48027,48,Vietnamese alone in any combination,1361,8.14971046400309,11091.755941508207,,183.18734543929872
4542,42043,48,Vietnamese alone in any combination,1952,10.2228786499441,19955.059124690884,,5683.120809227163
2690,51710,48,Vietnamese alone in any combination,548,8.23998092338233,4515.509546013517,,41.92766114243384
944,26139,48,Vietnamese alone in any combination,1277,8.05364209862737,10284.50095994715,,273.6827993653395
4831,12005,48,Vietnamese alone in any combination,1116,6.97953664653069,7789.16289752825,,2636.572883161864
4935,27163,48,Vietnamese alone in any combination,1086,6.6242352622871,7193.919494843791,,3888.9562862920616
3720,55133,48,Vietnamese alone in any combination,887,8.3518535098784,7408.0940632621405,,24.070315659527363
56,37081,48,Vietnamese alone in any combination,6595,8.10161151869551,53430.127965796884,,1135.6838192049129
3498,17089,48,Vietnamese alone in any combination,1548,8.93582712703462,13832.660392649594,,272.08140260682194
3006,49035,48,Vietnamese alone in any combination,7821,7.03761323308293,55041.173095941595,,17107.344459377913
63,53033,48,Vietnamese alone in any combination,45484,6.00819917603582,273276.9313228132,,286185.51518101385
2239,37119,48,Vietnamese alone in any combination,10430,8.54737696345696,89149.14172885609,,9.888554136879085
2960,05131,48,Vietnamese alone in any combination,2968,8.12412104346927,24112.391257016792,,457.1571471362046
4757,34025,48,Vietnamese alone in any combination,1094,8.06339794982392,8821.357357107368,,224.68500539351385
3734,36061,48,Vietnamese alone in any combination,3417,9.11068287012895,31131.203367230624,,1206.0341561274759
854,51153,48,Vietnamese alone in any combination,5304,8.00437063124064,42455.18182810036,,1391.5813816548177
2476,06059,48,Vietnamese alone in any combination,206081,9.16850397509893,1889454.4676923628,,87583.83467783297
1182,48201,48,Vietnamese alone in any combination,91615,9.69979688545933,888646.8916613566,,128259.91540802443
4323,38017,48,Vietnamese alone in any combination,857,7.0424696849337,6035.39651998818,,1862.2770332557682
2972,24033,48,Vietnamese alone in any combination,3010,8.69711357937041,26178.31187390493,,98.0965971823856
4314,17197,48,Vietnamese alone in any combination,1447,8.62626525664148,12482.205826360221,,17.406765143251928
729,21111,48,Vietnamese alone in any combination,3457,9.77015065884852,33775.41082763933,,5432.414584614501
1505,06041,48,Vietnamese alone in any combination,1839,7.54624044447702,13877.53617739324,,1731.5478999707634
179,48439,48,Vietnamese alone in any combination,35947,9.14167887342637,328615.9304630577,,14045.973411868032
927,48491,48,Vietnamese alone in any combination,3599,8.11460112432839,29204.449446457875,,581.5688351121404
1261,34035,48,Vietnamese alone in any combination,1469,8.49075088837635,12472.91305502486,,0.9804832517065247
3708,06087,48,Vietnamese alone in any combination,1065,6.60477066574689,7034.080759020438,,3892.615055306272
5139,29077,48,Vietnamese alone in any combination,1514,8.20372742021412,12420.443314204178,,148.19099846103802
2135,06065,48,Vietnamese alone in any combination,18965,7.82369547038076,148376.38459577112,,9105.043231117263
2131,48141,48,Vietnamese alone in any combination,937,5.97715026783339,5600.589800959887,,6042.463280348689
4272,08031,48,Vietnamese alone in any combination,6744,6.69751589354803,45168.04718608792,,22316.002576862105
4749,45091,48,Vietnamese alone in any combination,942,8.22653942637997,7749.400139649932,,79.24761061033627
4562,20091,48,Vietnamese alone in any combination,2199,7.82799298041637,17213.7565639356,,1042.6783949659316
5322,19163,48,Vietnamese alone in any combination,1157,9.14334093563889,10578.845462534195,,454.4948632469345
210,12086,48,Vietnamese alone in any combination,3520,6.47824733374993,22803.430614799752,,14624.981322490261
2111,48355,48,Vietnamese alone in any combination,1204,9.30081268503305,11198.178472779791,,740.4739674289472
2505,51650,48,Vietnamese alone in any combination,1238,7.53849430076545,9332.655944347627,,1184.349088941936
2771,48453,48,Vietnamese alone in any combination,14089,8.31189358502576,117106.26871942794,,590.314401395065
1307,48041,48,Vietnamese alone in any combination,1097,8.530773651816,9358.258696042152,,0.2208166722864188
5101,40017,48,Vietnamese alone in any combination,1616,7.65730963406929,12374.212368655973,,1193.1829007884646
1551,48029,48,Vietnamese alone in any combination,6479,8.87285395214993,57487.2207559794,,822.3594012411892
