,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
797,26077,16,Chinese alone (410-419),1302,8.71397799109978,11345.599344411914,,0.16429004510918094
4993,48339,16,Chinese alone (410-419),2839,7.88025034260312,22372.03072265026,,1920.575723201278
2018,13121,16,Chinese alone (410-419),13475,8.75879472517899,118024.7589217869,,42.33286287350379
1819,25013,16,Chinese alone (410-419),2080,6.70973779205592,13956.254607476314,,8261.920668656865
1903,10003,16,Chinese alone (410-419),6829,9.49426989782331,64836.369132235384,,4278.4494717041025
4417,16057,16,Chinese alone (410-419),547,8.65199866743637,4732.643271087694,,1.4086223028839768
1207,35001,16,Chinese alone (410-419),3292,4.46184882021963,14688.406316163022,,59207.27633503962
4446,34027,16,Chinese alone (410-419),12754,7.86213245805199,100273.63736999508,,9012.34933382778
3697,06087,16,Chinese alone (410-419),3689,6.60477066574689,24364.998985940278,,16237.117988486427
125,26125,16,Chinese alone (410-419),14643,8.94169654602358,130933.26252342328,,836.0845447280069
831,36081,16,Chinese alone (410-419),223882,9.26689393328259,2074690.747571173,,71253.61590746505
1525,13117,16,Chinese alone (410-419),2834,7.32979146201663,20772.629003355127,,5342.093067542964
3236,42095,16,Chinese alone (410-419),1514,9.34126589870187,14142.676570634632,,617.2715681687564
4429,08069,16,Chinese alone (410-419),2129,5.21891557230584,11111.071253439133,,25839.814857567835
120,04013,16,Chinese alone (410-419),28116,6.70777531571864,188595.8107767453,,111898.96833416817
5223,22033,16,Chinese alone (410-419),2874,8.77060661545172,25206.723412808245,,13.235389095753105
1545,48029,16,Chinese alone (410-419),6754,8.87285395214993,59927.25559282063,,195.44115391266055
2865,12115,16,Chinese alone (410-419),1303,6.01402271918682,7836.271603100427,,9419.682581887884
1337,49049,16,Chinese alone (410-419),1950,6.50296787248047,12680.787351336916,,9436.086804159142
4463,18089,16,Chinese alone (410-419),1495,10.6426965968085,15910.831412228708,,5626.30194371722
318,06067,16,Chinese alone (410-419),45601,9.06530229311215,413386.8498682072,,5994.154742443751
3089,44009,16,Chinese alone (410-419),1195,6.0946434723852,7283.098949500314,,8128.620565534014
4422,06025,16,Chinese alone (410-419),795,7.94575346763843,6316.874006772552,,455.5636162889795
3401,37051,16,Chinese alone (410-419),810,7.66532693079257,6208.914813941982,,871.7511576899852
812,25005,16,Chinese alone (410-419),3073,6.30291735931131,19368.865045163657,,17697.935922802822
354,12011,16,Chinese alone (410-419),13723,6.34167243402137,87026.77081207526,,76501.10152402234
750,06073,16,Chinese alone (410-419),56751,7.85726438502988,445907.6111148307,,40567.72956701899
787,53053,16,Chinese alone (410-419),4085,5.83119602543934,23820.435763919704,,33684.06363919269
2528,24031,16,Chinese alone (410-419),44403,8.82256236656146,391748.2367624285,,637.4597059903546
4547,36063,16,Chinese alone (410-419),680,8.40763619312696,5717.192611326333,,59.22061239576958
724,06097,16,Chinese alone (410-419),4066,7.39890758693307,30083.958248469862,,6912.166177086933
2573,42003,16,Chinese alone (410-419),12590,10.2061063064067,128494.87839766034,,28454.603408589603
5189,45077,16,Chinese alone (410-419),640,7.4043712645105,4738.79760928672,,1078.895385699703
3629,48085,16,Chinese alone (410-419),25525,8.75024321067156,223349.95795239156,,57.58673830459195
4556,06089,16,Chinese alone (410-419),908,6.50023187193536,5902.210539717306,,4404.765695953572
1885,34013,16,Chinese alone (410-419),9545,9.48870949406163,90569.73212081827,,5896.33190544403
2103,37135,16,Chinese alone (410-419),3905,7.4762610380341,29194.79935352316,,5874.145490684309
4559,20091,16,Chinese alone (410-419),4807,7.82799298041637,37629.16225686149,,3678.2725711799385
2362,34007,16,Chinese alone (410-419),6106,9.36629533293618,57190.59930290832,,2688.4669534941672
2817,39035,16,Chinese alone (410-419),10927,10.0917991358324,110273.08915724063,,21083.33760743219
1608,36091,16,Chinese alone (410-419),1629,6.056114399541,9865.41035685229,,11410.579556842702
5184,54061,16,Chinese alone (410-419),1104,8.58346852176444,9476.149248027941,,15.706441464072324
692,55079,16,Chinese alone (410-419),3658,9.10130853297599,33292.58661362617,,581.0842267502258
2813,36103,16,Chinese alone (410-419),15153,7.76449699361168,117655.4229441978,,13339.32367900146
4013,36109,16,Chinese alone (410-419),5301,6.62719333553227,35130.75187165656,,22836.2532026147
684,40143,16,Chinese alone (410-419),2316,8.56969817024443,19847.4209622861,,40.99650363381874
4592,06083,16,Chinese alone (410-419),5745,8.48295767808066,48734.5918605734,,277.52034406334246
3602,27123,16,Chinese alone (410-419),5651,7.32246367501573,41379.24222751389,,10766.150702010083
2470,06059,16,Chinese alone (410-419),93462,9.16850397509893,856906.7185206963,,20274.855268881507
3599,51107,16,Chinese alone (410-419),6136,8.36112694384764,51303.87492744912,,716.0884600855345
4608,08013,16,Chinese alone (410-419),4276,5.67438814446289,24263.683705723317,,39214.958705274024
4540,42043,16,Chinese alone (410-419),1703,10.2228786499441,17409.5623408548,,3935.303783981995
4483,39095,16,Chinese alone (410-419),1962,9.99315210642463,19606.564432805124,,3267.0258994620767
731,21111,16,Chinese alone (410-419),2270,9.77015065884852,22178.24199558614,,2586.3360793379643
1840,29510,16,Chinese alone (410-419),2094,10.322884452918,21616.12004441029,,5496.440595329847
5207,51121,16,Chinese alone (410-419),2467,7.45152150277566,18382.903547347552,,3862.2363588052576
2112,48355,16,Chinese alone (410-419),919,9.30081268503305,8547.446857545372,,328.71260858393
3669,39153,16,Chinese alone (410-419),2722,9.40825454864604,25609.268881414522,,1354.858883284926
4489,12097,16,Chinese alone (410-419),1460,5.77148438171093,8426.367197297957,,12544.740621608284
1561,34031,16,Chinese alone (410-419),3009,9.04380157687351,27212.798944812388,,350.00589262562175
5203,29161,16,Chinese alone (410-419),890,7.68295497984764,6837.829932064399,,925.5745783375559
2841,48157,16,Chinese alone (410-419),28073,9.17851703608798,257668.50875409786,,6354.580317729785
4030,39061,16,Chinese alone (410-419),3884,9.65778915240275,37510.85306793228,,3542.633554756672
2207,06013,16,Chinese alone (410-419),45207,8.44669782001382,381849.8683493648,,2963.7752550582863
4025,29047,16,Chinese alone (410-419),802,8.25442300893489,6620.0472531657815,,161.19598360834632
3651,36067,16,Chinese alone (410-419),4655,7.52117646578563,35011.07644823211,,6498.8637136058815
4512,09001,16,Chinese alone (410-419),11480,8.02453657924215,92121.6799296999,,5280.415379566303
2347,06077,16,Chinese alone (410-419),9115,9.17663681807835,83645.04459678417,,2046.9880986575238
3646,39173,16,Chinese alone (410-419),667,9.67162836980428,6450.976122659455,,626.1363922256841
4410,25003,16,Chinese alone (410-419),522,6.31924579702634,3298.6463060477495,,2965.517427571283
