,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
1964,51059,19,Filipino alone (420-421),16475,8.53482384337623,140611.2228196234,,119.05892186105133
3929,45019,19,Filipino alone (420-421),810,7.33811505815099,5943.873197102302,,1330.6697526382854
3558,51810,19,Filipino alone (420-421),18001,7.94531174803764,143023.55677642557,,8190.087665235512
3560,53029,19,Filipino alone (420-421),2216,4.72855568045754,10478.479387893909,,33554.767437742164
1659,26081,19,Filipino alone (420-421),912,8.59719250309481,7840.639562822466,,0.46750463682014964
3563,06017,19,Filipino alone (420-421),2514,5.6859703127727,14294.52936631057,,21639.388745792945
3920,48027,19,Filipino alone (420-421),2173,8.14971046400309,17709.320838278716,,480.2670483439201
3421,21067,19,Filipino alone (420-421),658,8.78198838348495,5778.548356333097,,17.301587739985695
3227,24017,19,Filipino alone (420-421),1917,7.72652433248494,14811.74714537363,,1529.7684316576044
1447,26161,19,Filipino alone (420-421),1306,8.61139048087102,11246.475968017552,,0.0930976473928361
3576,53057,19,Filipino alone (420-421),961,5.45666062625641,5243.8508618324095,,9615.441785641295
3409,37051,19,Filipino alone (420-421),1574,7.66532693079257,12065.224589067506,,1434.0443120010193
2026,13121,19,Filipino alone (420-421),2069,8.75879472517899,18121.94628639533,,39.95284962692488
3260,37183,19,Filipino alone (420-421),2723,7.62510236028471,20763.153727055265,,2694.3813788914936
2092,11001,19,Filipino alone (420-421),2946,8.98079472529719,26457.421260725525,,383.84319652358306
1829,53035,19,Filipino alone (420-421),7676,5.06676204656497,38892.46546943271,,96904.25538863667
3826,09009,19,Filipino alone (420-421),3110,7.69192221306771,23921.87808264058,,2677.7701974981806
1634,06095,19,Filipino alone (420-421),44298,8.18899763531102,362756.2172490076,,8222.574478580667
1628,41051,19,Filipino alone (420-421),4805,7.2704340966826,34934.435834559896,,8749.322390031091
1316,17111,19,Filipino alone (420-421),1975,8.75616325670424,17293.42243199087,,36.70696015125382
3595,51107,19,Filipino alone (420-421),5963,8.36112694384764,49857.39996616348,,399.09811662463574
1881,34013,19,Filipino alone (420-421),9223,9.48870949406163,87514.36766373042,,6962.862285117391
1683,06019,19,Filipino alone (420-421),10419,12.5756997634263,131026.21583513862,,163045.6587924405
1691,26099,19,Filipino alone (420-421),5562,9.36348490977172,52079.70306815031,,3075.8828872700415
1800,32003,19,Filipino alone (420-421),96667,6.30364284564558,609354.2429600212,,518593.2390796404
1779,42101,19,Filipino alone (420-421),6032,10.0601304260272,60682.706729796075,,12513.113981144355
3453,08005,19,Filipino alone (420-421),2249,5.89563569364147,13259.284674999666,,16690.39954266026
