,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
4873,13063,15,Cambodian alone,1083,8.94192603540921,9684.105896348176,,280.23749920950604
182,48439,15,Cambodian alone,922,9.14167887342637,8428.627921299114,,462.7371509340421
2514,24031,15,Cambodian alone,1364,8.82256236656146,12033.975067989832,,206.74293489131816
1987,25021,15,Cambodian alone,646,6.50724636525304,4203.681151953464,,2396.3083363558444
317,06067,15,Cambodian alone,2517,9.06530229311215,22817.365871763282,,1005.5449762899427
4224,36065,15,Cambodian alone,903,6.60382066609048,5963.250061479704,,3022.141472434783
4722,12103,15,Cambodian alone,1161,6.92419524860836,8038.990683634306,,2643.851620862877
811,25005,15,Cambodian alone,2100,6.30291735931131,13236.126454553752,,9530.386197014035
1682,06019,15,Cambodian alone,5508,12.5756997634263,69266.95429695206,,94517.08154749054
1043,06037,15,Cambodian alone,34599,10.0245384042183,346839.00424754893,,87612.52834418889
2926,17043,15,Cambodian alone,665,9.72603098773726,6467.810606845278,,1111.418326234409
3356,23005,15,Cambodian alone,770,5.76373845111725,4438.078607360283,,5487.208086901356
3978,17031,15,Cambodian alone,2080,10.794362484756,22452.27396829248,,11595.780150141174
478,06085,15,Cambodian alone,4177,9.52476700749084,39784.95179028924,,4976.598336936067
90,53033,15,Cambodian alone,7845,6.00819917603582,47134.32253600101,,46135.097390778006
1971,51059,15,Cambodian alone,2014,8.53482384337623,17189.13522055973,,20.782583735590002
779,53053,15,Cambodian alone,5816,5.83119602543934,33914.2360839552,,39378.03322218743
936,26139,15,Cambodian alone,1052,8.05364209862737,8472.431487755992,,151.5883442359731
2429,06001,15,Cambodian alone,4210,9.64136846914229,40590.161255089035,,6144.797261362686
3345,27139,15,Cambodian alone,1449,6.09754934048088,8835.348994356795,,7904.955580644649
4501,09001,15,Cambodian alone,1633,8.02453657924215,13104.068233902432,,272.7752852511089
2345,06077,15,Cambodian alone,11138,9.17663681807835,102209.38087975666,,6155.273446597687
1729,36005,15,Cambodian alone,1197,9.37008895701274,11215.99648154425,,1050.5876888650287
3890,45083,15,Cambodian alone,1238,7.66962465880193,9494.99532759679,,721.8902219515343
3634,48085,15,Cambodian alone,690,8.75024321067156,6037.667815363376,,69.33834347217619
3024,53061,15,Cambodian alone,3478,5.56136405994379,19342.4242004845,,28685.42269327381
2501,06059,15,Cambodian alone,7471,9.16850397509893,68497.8931979641,,4038.9087373911543
3321,06071,15,Cambodian alone,4386,8.61698249388515,37794.08521818027,,148.07534398076336
2145,06065,15,Cambodian alone,3991,7.82369547038076,31224.368622289614,,1482.839472763607
753,06073,15,Cambodian alone,5452,7.85726438502988,42837.8054271829,,1808.6963630762823
947,27037,15,Cambodian alone,913,6.48278388195267,5918.7816842227885,,3473.3106246520374
2314,39049,15,Cambodian alone,2733,9.74000598595169,26619.43635960597,,4666.965164215269
2080,44007,15,Cambodian alone,5056,6.85394833374025,34653.5627753907,,12610.50111375604
3002,49035,15,Cambodian alone,1554,7.03761323308293,10936.450964210873,,3026.845579601049
1949,48121,15,Cambodian alone,1318,8.70451626461258,11472.55243675938,,96.99191985141775
4126,53067,15,Cambodian alone,1407,5.55130600489963,7810.687548893779,,11685.908510686975
34,25027,15,Cambodian alone,962,5.74856992257236,5530.12426551461,,6933.5757566712155
1281,51087,15,Cambodian alone,913,7.73787180569176,7064.676958596577,,441.4705804249145
3620,27123,15,Cambodian alone,1745,7.32246367501573,12777.69911290245,,2153.0271314967663
1087,42091,15,Cambodian alone,853,9.41243017423994,8028.802938626669,,817.866029074037
2642,25017,15,Cambodian alone,16636,6.47873808499852,107780.28678203539,,63550.88323851342
1769,42101,15,Cambodian alone,10252,10.0601304260272,103136.45712763086,,27134.675321756098
873,51153,15,Cambodian alone,807,8.00437063124064,6459.527099411196,,148.43139629576092
375,06099,15,Cambodian alone,3883,9.60805142011029,37308.06366428825,,5359.236387593047
3860,51041,15,Cambodian alone,835,7.51534934985264,6275.3167071269545,,703.5085607531913
48,37081,15,Cambodian alone,905,8.10161151869551,7331.958424419437,,99.5302382665477
105,04013,15,Cambodian alone,1892,6.70777531571864,12691.110897339668,,5632.923119535622
2045,13135,15,Cambodian alone,1729,8.35386978995953,14443.840866840028,,10.892356240123238
1359,06075,15,Cambodian alone,1205,7.9258551486833,9550.655454163376,,310.2157785015702
286,27053,15,Cambodian alone,2263,6.92972786625594,15681.974161337192,,5115.629118021068
3794,25009,15,Cambodian alone,5613,6.15045129368009,34522.48311142635,,29250.068166298737
2203,06013,15,Cambodian alone,962,8.44669782001382,8125.7233028532955,,0.17420274742832847
4624,41067,15,Cambodian alone,2249,7.48369334281022,16830.826327980183,,2027.7903822731764
2229,37119,15,Cambodian alone,1081,8.54737696345696,9239.714497496974,,14.082187665298218
1799,32003,15,Cambodian alone,1569,6.30364284564558,9890.415624817915,,7115.710954627687
3376,42071,15,Cambodian alone,1015,10.2029291433934,10355.973080544301,,3178.7727907203284
272,06029,15,Cambodian alone,1379,12.7165061815012,17536.062024290157,,25299.630380521863
716,06097,15,Cambodian alone,1015,7.39890758693307,7509.891200737065,,1085.8934548534107
1597,25025,15,Cambodian alone,2043,6.84412934191847,13982.556245539434,,5159.139084645716
3118,48113,15,Cambodian alone,1899,9.22988068041192,17527.543412102237,,1205.1712155238558
1624,41051,15,Cambodian alone,1111,7.2704340966826,8077.452281414369,,1502.205401198985
2174,12031,15,Cambodian alone,1594,6.80005731369965,10839.291358037242,,4251.658991434665
1168,48201,15,Cambodian alone,3979,9.69979688545933,38595.49180724267,,6382.967029517138
1375,48039,15,Cambodian alone,852,9.3209273281263,7941.430083563608,,671.3648223864129
1142,42045,15,Cambodian alone,806,10.1338749128143,8167.903179728325,,2331.0772879321958
65,,15,Cambodian alone,206583,,1742164.241375383,8.433241076832958,1.7218432145809621
