,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
3562,53029,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",1085,4.72855568045754,5130.482913296431,,14982.867436803406
4276,08031,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",2834,6.69751589354803,18980.76004231512,,8650.371615072923
3000,49035,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",6507,7.03761323308293,45793.74930767062,,12881.602349141625
4309,17197,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",899,8.62626525664148,7755.012465720691,,29.66424521493423
4557,06089,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",1161,6.50023187193536,7546.769203316952,,4389.3050031506145
952,27037,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",1007,6.48278388195267,6528.163369126339,,3875.7215001754835
1392,13067,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",1714,8.53676725410491,14632.019073535817,,14.555457353126936
438,36001,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",628,7.18668601639032,4513.238818293121,,993.7374640589361
3486,47093,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",924,8.69927252127359,8038.127809656798,,59.921974126963036
4862,26065,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",761,8.69174608376796,6614.418769747417,,46.47726514473457
1999,25021,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",3098,6.50724636525304,20159.449239553916,,11628.020644477678
424,29095,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",955,8.30980009122491,7935.8590871197885,,17.35709690317076
3956,17031,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",18169,10.794362484756,196122.77198553176,,100316.76849562519
248,09003,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",1144,7.32282137045952,8377.307647805692,,1439.632716010121
3668,39153,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",699,9.40825454864604,6576.369929503582,,649.0926695412372
3057,53011,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",3465,6.61530872551209,22922.04473389939,,11595.138223195536
3636,48085,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",2802,8.75024321067156,24518.18147630171,,261.73147170566557
2339,06077,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",5238,9.17663681807835,48067.2236530944,,2806.8159576234957
5268,16027,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",897,8.07616700809325,7244.321806259645,,121.77105039517707
264,06029,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",2314,12.7165061815012,29425.99530399378,,42228.31810229838
2044,13135,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",1992,8.35386978995953,16640.908621599385,,16.4033893457988
5063,41003,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",784,6.73837259795043,5282.884116793137,,2282.42941390552
1326,49049,41,"Japanese alone or in any combination (430-439) & (100-299) or (300, A01-Z99) or (400-999)",2871,6.50296787248047,18670.02076189143,,10823.647851079908
