,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
51,37081,29,Vietnamese alone (450-459),6069,8.10161151869551,49168.68030696305,,1104.6014360381444
2562,34017,29,Vietnamese alone (450-459),1769,9.83509422202987,17398.28167877084,,3021.2439075749826
4172,06053,29,Vietnamese alone (450-459),2197,6.43788704170752,14144.037830631421,,9599.906714613207
2342,06077,29,Vietnamese alone (450-459),7617,9.17663681807835,69898.4426433028,,3202.381665905625
4385,12095,29,Vietnamese alone (450-459),12149,6.1404071756769,74599.80677729867,,69270.1873919655
4496,09001,29,Vietnamese alone (450-459),2163,8.02453657924215,17357.072620900773,,548.7781523402708
832,36081,29,Vietnamese alone (450-459),3512,9.26689393328259,32545.331493688456,,1916.20963518067
82,53033,29,Vietnamese alone (450-459),39343,6.00819917603582,236380.58018277725,,249850.78900306168
4398,42049,29,Vietnamese alone (450-459),362,8.76649243315298,3173.4702608013786,,20.54959931396034
859,51153,29,Vietnamese alone (450-459),4654,8.00437063124064,37252.34091779394,,1277.2127611407207
807,25005,29,Vietnamese alone (450-459),829,6.30291735931131,5225.118490869077,,4105.238108051363
2854,48375,29,Vietnamese alone (450-459),1691,6.67596663971323,11289.059587755071,,5801.645436778788
2615,42041,29,Vietnamese alone (450-459),1074,10.3254143960222,11089.495061327843,,3468.8649419034664
2883,24510,29,Vietnamese alone (450-459),693,9.53783831137543,6609.721949783172,,706.3748184439462
4451,34027,29,Vietnamese alone (450-459),1517,7.86213245805199,11926.854938864868,,673.0806318523416
2864,12115,29,Vietnamese alone (450-459),1232,6.01402271918682,7409.2759900381625,,7787.793321750213
789,53053,29,Vietnamese alone (450-459),6962,5.83119602543934,40596.78672910868,,50641.70261411277
4238,34005,29,Vietnamese alone (450-459),863,8.7182824009324,7523.877712004662,,31.17001489587654
904,17097,29,Vietnamese alone (450-459),899,8.99755131741302,8088.798634354305,,198.01220034128997
4372,12105,29,Vietnamese alone (450-459),1033,6.22715261938731,6432.648655827091,,5469.712027299059
2599,33011,29,Vietnamese alone (450-459),1223,6.11508830093756,7478.752992046636,,7121.864731867597
16,06081,29,Vietnamese alone (450-459),4608,8.62868769305074,39760.99288957781,,46.49862121533844
31,25027,29,Vietnamese alone (450-459),8206,5.74856992257236,47172.76478462878,,63403.94695183514
1000,31055,29,Vietnamese alone (450-459),1704,6.90902409700064,11772.97706128909,,4467.619256856832
4265,12099,29,Vietnamese alone (450-459),4304,5.85781219868589,25212.02370314407,,30692.491970490668
2275,24027,29,Vietnamese alone (450-459),2424,8.28530355971228,20083.575828742567,,143.05341541870231
2924,17043,29,Vietnamese alone (450-459),3787,9.72603098773726,36832.47935056101,,5433.271223878361
1021,36007,29,Vietnamese alone (450-459),550,7.21197562293121,3966.5865926121655,,952.8955683950464
4275,08031,29,Vietnamese alone (450-459),5878,6.69751589354803,39367.99842227532,,19700.2966798287
979,51760,29,Vietnamese alone (450-459),466,8.46683126964851,3945.543371656206,,1.756985473689775
