,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
3451,08005,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1066,5.89563569364147,6284.747649421807,,7659.665849465978
1233,13089,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",2009,8.91584748278997,17911.93759292505,,231.7584004800142
2402,06001,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1763,9.64136846914229,16997.732611097857,,2000.2695192778053
2592,33011,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",967,6.11508830093756,5913.290387006621,,5857.189790129601
88,53033,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",2168,6.00819917603582,13025.775813645658,,14297.159460020439
2208,06013,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1088,8.44669782001382,9190.007228175036,,18.246784318279563
165,48439,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",3936,9.14167887342637,35981.64804580619,,1258.598198263432
1049,06037,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",2135,10.0245384042183,21402.38949300607,,4478.552595423436
2577,42003,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1435,10.2061063064067,14645.762549693613,,3812.2109136270997
4603,08013,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1136,5.67438814446289,6446.1049321098435,,9565.70491193345
875,51153,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",801,8.00437063124064,6411.500875623753,,261.91849905409
841,36081,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",5848,9.26689393328259,54192.79572183659,,2789.8318678202118
1160,48201,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",2813,9.69979688545933,27285.528638797095,,3551.3249044435534
2240,37119,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1574,8.54737696345696,13453.571340481256,,1.3076723814510076
2814,39035,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",865,10.0917991358324,8729.406252495026,,1986.9389564437681
3124,48113,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",2581,9.22988068041192,23822.322036143167,,1102.8556002815558
3649,36067,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",501,7.52117646578563,3768.1094093586007,,557.6509212629808
1292,47037,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1306,8.73859303838795,11412.602508134663,,34.440969847844265
2985,49035,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1579,7.03761323308293,11112.391295037947,,3737.8889285352566
1980,51059,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",3696,8.53482384337623,31544.708925118546,,6.327651293804198
3951,17031,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1117,10.794362484756,12057.302895472452,,5495.9110245074135
2543,24031,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1785,8.82256236656146,15748.273824312206,,108.33910120701607
104,04013,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",760,6.70777531571864,5097.909239946167,,2653.1695995274204
3219,36029,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1121,8.8109609744516,9877.087252360243,,61.781095883362326
481,06085,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1142,9.52476700749084,10877.28392255454,,1027.5469768554517
4331,24005,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1440,8.79283371421402,12661.680548468188,,67.57913367551309
4665,36055,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1022,8.25044110134561,8431.950805575212,,108.45380107507913
2321,39049,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1259,9.74000598595169,12262.667536313178,,1705.2440303311157
2870,24510,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1413,9.53783831137543,13476.965533973482,,1306.6679348702544
2646,25017,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",2604,6.47873808499852,16870.633973336146,,11455.90359646544
3267,37183,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1127,7.62510236028471,8593.490360040867,,1019.4702836618958
1002,31055,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",1130,6.90902409700064,7807.197229610723,,3140.8091507341087
32,,84,"Nepalese alone or in any combination (472) & (100-299) or (300, A01-Z99) or (400-999)",55187,,473294.77642787783,8.576200489750807,1.2866527696645975
