,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
4189,12001,23,Korean alone (440-441),1458,6.44954339675583,9403.43427247,,7481.934267771443
24,25027,23,Korean alone (440-441),1149,5.74856992257236,6605.106841035641,,10109.883661242906
1035,06037,23,Korean alone (440-441),217408,10.0245384042183,2179414.845384292,,372912.86358601187
3807,32031,23,Korean alone (440-441),1669,5.296679714243,8840.158443071567,,19500.480141314536
268,06029,23,Korean alone (440-441),2353,12.7165061815012,29921.939045072326,,37679.065398211715
1834,53035,23,Korean alone (440-441),662,5.06676204656497,3354.19647482601,,8810.2872769896
4205,06113,23,Korean alone (440-441),1934,8.78828613435964,16996.545383851542,,10.428037559608933
1422,18057,23,Korean alone (440-441),1158,9.42743385010689,10916.96839842378,,587.9940560676994
3385,04019,23,Korean alone (440-441),2759,5.20151422183638,14350.977738046573,,34055.915016508654
2257,17019,23,Korean alone (440-441),3616,8.49939383924886,30733.80812272388,,167.86930997339059
3399,37051,23,Korean alone (440-441),2022,7.66532693079257,15499.291054062578,,2227.256689436766
2688,08001,23,Korean alone (440-441),944,6.60124621517517,6231.57642712536,,4217.175781527357
5061,41003,23,Korean alone (440-441),951,6.73837259795043,6408.192340650859,,3715.069596937057
2288,34039,23,Korean alone (440-441),1454,9.60877192921143,13971.15438507342,,1161.8700353583122
293,27053,23,Korean alone (440-441),5668,6.92972786625594,39277.69754593867,,18062.120474676754
3760,53063,23,Korean alone (440-441),1012,9.34114623851653,9453.239993378727,,396.946065427918
4310,17197,23,Korean alone (440-441),2183,8.62626525664148,18831.13705524835,,17.132964829368973
3444,08005,23,Korean alone (440-441),7441,5.89563569364147,43869.425196386175,,59141.100302567036
2998,49035,23,Korean alone (440-441),2787,7.03761323308293,19613.828080602125,,7840.232373403527
4301,06061,23,Korean alone (440-441),1558,7.4085300130011,11542.489760255714,,2658.708526539181
4943,27163,23,Korean alone (440-441),1144,6.6242352622871,7578.125140056442,,5000.076181458175
363,12011,23,Korean alone (440-441),2551,6.34167243402137,16177.606379188515,,14367.235195128495
1460,34015,23,Korean alone (440-441),739,8.86373505241287,6550.300203733112,,16.37986745040522
1786,32003,23,Korean alone (440-441),12496,6.30364284564558,78770.32099918717,,72651.11803363486
973,45079,23,Korean alone (440-441),1977,7.97597903085534,15768.510544001008,,1079.3223745845075
984,51760,23,Korean alone (440-441),719,8.46683126964851,6087.651682877279,,44.230272122635675
3429,34001,23,Korean alone (440-441),975,7.50533669436057,7317.703277001556,,1426.3640311556885
4271,08031,23,Korean alone (440-441),1998,6.69751589354803,13381.636755308964,,8131.184611316584
339,08041,23,Korean alone (440-441),4692,4.49947455797629,21111.534626024753,,83374.22422909793
2053,13135,23,Korean alone (440-441),23474,8.35386978995953,196098.73944951,,3058.925066108132
4558,20091,23,Korean alone (440-441),1675,7.82799298041637,13111.888242197421,,1317.4317111037456
2469,34003,23,Korean alone (440-441),57598,9.05985740165901,521829.6666207556,,6855.649159581268
2480,06059,23,Korean alone (440-441),93453,9.16850397509893,856824.2019849204,,19232.2808156634
4232,34005,23,Korean alone (440-441),2248,8.7182824009324,19598.698837296037,,0.026388728919988058
301,27109,23,Korean alone (440-441),660,6.50713719711885,4294.710550098441,,3216.8553493024333
1015,36007,23,Korean alone (440-441),719,7.21197562293121,5185.41047288754,,1623.9694005775264
2268,24027,23,Korean alone (440-441),12741,8.28530355971228,105563.05265429417,,2350.911763997465
3789,25009,23,Korean alone (440-441),2434,6.15045129368009,14970.19844881734,,16006.404094338359
5027,33009,23,Korean alone (440-441),464,4.8483150333266,2249.6181754635422,,6936.865284859022
1442,26161,23,Korean alone (440-441),5014,8.61139048087102,43177.51187108729,,53.67566164038976
314,06067,23,Korean alone (440-441),7367,9.06530229311215,66784.0819933572,,904.7593524533701
1003,31055,23,Korean alone (440-441),1049,6.90902409700064,7247.566277753672,,3420.8200860501856
2142,06065,23,Korean alone (440-441),12153,7.82369547038076,95081.37105153738,,9651.517269867363
4984,12073,23,Korean alone (440-441),1045,7.0455681301114,7362.618695966413,,2911.9162280538308
3420,21067,23,Korean alone (440-441),847,8.78198838348495,7438.344160811753,,3.817198793489513
2925,17043,23,Korean alone (440-441),4759,9.72603098773726,46286.181470641626,,4865.95578139548
4252,12099,23,Korean alone (440-441),1825,5.85781219868589,10690.50726260175,,14896.928420117838
3059,53011,23,Korean alone (440-441),2101,6.61530872551209,13898.763632300901,,9261.417376172025
4159,12091,23,Korean alone (440-441),888,7.0160841442966,6230.28272013538,,2562.613971116776
250,09003,23,Korean alone (440-441),2259,7.32282137045952,16542.253475868056,,4377.402110324263
2222,37119,23,Korean alone (440-441),3462,8.54737696345696,29591.019047487996,,97.10667413549739
2623,42041,23,Korean alone (440-441),959,10.3254143960222,9902.07240578529,,2487.547854399322
1920,45045,23,Korean alone (440-441),1122,7.76563718251427,8713.044918781012,,1010.9408151696614
1355,06075,23,Korean alone (440-441),9601,7.9258551486833,76096.13528250836,,5976.840257599564
1917,40027,23,Korean alone (440-441),1291,7.99947002377275,10327.31580069062,,660.7046244978101
3875,55025,23,Korean alone (440-441),2533,8.18286288866624,20727.191696991584,,716.8818025417047
1178,48201,23,Korean alone (440-441),11377,9.69979688545933,110354.5891658708,,11036.920157828745
1965,51059,23,Korean alone (440-441),41396,8.53482384337623,353307.56782040244,,1341.7128452324357
4088,37063,23,Korean alone (440-441),1225,7.79432376453266,9548.046611552509,,1038.0404878893926
3302,36071,23,Korean alone (440-441),784,7.17748622336131,5627.149199115267,,1852.989086148326
2537,24031,23,Korean alone (440-441),16499,8.82256236656146,145563.45648589754,,191.39855261666509
