,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
1167,48201,18,Taiwanese alone (412-419),2995,9.69979688545933,29050.891671950692,,1385.6322816243305
7,06081,18,Taiwanese alone (412-419),1534,8.62868769305074,13236.406921139835,,234.43128110528306
3949,17031,18,Taiwanese alone (412-419),2317,10.794362484756,25010.537877179653,,7297.927961584728
1258,34035,18,Taiwanese alone (412-419),683,8.49075088837635,5799.182856761047,,191.03263090113458
2576,42003,18,Taiwanese alone (412-419),569,10.2061063064067,5807.274488345412,,801.0174643525762
1338,06075,18,Taiwanese alone (412-419),2000,7.9258551486833,15851.710297366599,,2392.6176524536004
2215,06013,18,Taiwanese alone (412-419),1344,8.44669782001382,11352.361870098575,,441.14536642398923
820,36081,18,Taiwanese alone (412-419),5709,9.26689393328259,52904.69746511031,,349.08979101246905
1960,51059,18,Taiwanese alone (412-419),1172,8.53482384337623,10002.813544436942,,275.44540177572094
102,04013,18,Taiwanese alone (412-419),759,6.70777531571864,5091.201464630448,,4056.5506034674654
3737,36061,18,Taiwanese alone (412-419),2402,9.11068287012895,21883.86025404974,,19.921000657013394
2318,39049,18,Taiwanese alone (412-419),658,9.74000598595169,6408.923938756212,,341.4785416751434
3314,06071,18,Taiwanese alone (412-419),2724,8.61698249388515,23472.66031334315,,441.59384384486054
4454,34027,18,Taiwanese alone (412-419),989,7.86213245805199,7775.6490010134185,,1325.0265413367729
135,26125,18,Taiwanese alone (412-419),792,8.94169654602358,7081.823664450676,,4.808357317163122
2002,25021,18,Taiwanese alone (412-419),715,6.50724636525304,4652.6811511559235,,4513.074318699671
2530,24031,18,Taiwanese alone (412-419),2768,8.82256236656146,24420.852630642123,,107.47983056254462
757,06073,18,Taiwanese alone (412-419),3374,7.85726438502988,26510.410035090816,,4558.4665001492485
3644,48085,18,Taiwanese alone (412-419),1759,8.75024321067156,15391.677807571274,,127.63430823638154
1587,25025,18,Taiwanese alone (412-419),543,6.84412934191847,3716.362232661729,,2569.874722683732
2826,39035,18,Taiwanese alone (412-419),620,10.0917991358324,6256.9154642160875,,712.7399546549213
2641,25017,18,Taiwanese alone (412-419),2639,6.47873808499852,17097.389806311094,,17037.51950710308
163,48439,18,Taiwanese alone (412-419),953,9.14167887342637,8712.01996637533,,14.199498467800225
655,36047,18,Taiwanese alone (412-419),1034,9.46112269766838,9782.800869389104,,201.55738020482622
329,06067,18,Taiwanese alone (412-419),832,9.06530229311215,7542.3315078693095,,1.7367195960318842
3130,48113,18,Taiwanese alone (412-419),725,9.22988068041192,6691.663493298643,,32.05369980189777
2776,48453,18,Taiwanese alone (412-419),621,8.31189358502576,5161.685916300998,,311.03930465186716
2030,13121,18,Taiwanese alone (412-419),1120,8.75879472517899,9809.85009220047,,76.19000461515928
2422,06001,18,Taiwanese alone (412-419),4707,9.64136846914229,45381.92138425275,,1819.6244898441773
457,06085,18,Taiwanese alone (412-419),9701,9.52476700749084,92399.76473966865,,2475.4951226323187
3173,36059,18,Taiwanese alone (412-419),1007,8.30693423441172,8365.082774052602,,511.46809879056593
2462,34003,18,Taiwanese alone (412-419),836,9.05985740165901,7574.040787786932,,1.3539158846186656
1788,32003,18,Taiwanese alone (412-419),1078,6.30364284564558,6795.326987605936,,7951.86733203058
1761,42101,18,Taiwanese alone (412-419),585,10.0601304260272,5885.176299225912,,633.3643198224146
1477,34023,18,Taiwanese alone (412-419),1245,9.03069663050806,11243.217304982536,,0.15291168665603339
2139,06065,18,Taiwanese alone (412-419),1484,7.82369547038076,11610.364078045048,,2122.4488074624032
2843,48157,18,Taiwanese alone (412-419),2123,9.17851703608798,19485.99166761478,,53.60599746319386
2475,06059,18,Taiwanese alone (412-419),9523,9.16850397509893,87311.66335486712,,211.10748333472588
3270,37183,18,Taiwanese alone (412-419),867,7.62510236028471,6610.963746366843,,1686.0230161325471
2938,17043,18,Taiwanese alone (412-419),1177,9.72603098773726,11447.538472566755,,587.3520734528752
1070,06037,18,Taiwanese alone (412-419),21430,10.0245384042183,214825.85800239816,,21641.571733870118
2558,34017,18,Taiwanese alone (412-419),638,9.83509422202987,6274.790113655057,,424.2749082953344
66,53033,18,Taiwanese alone (412-419),4194,6.00819917603582,25198.387344294228,,38033.79373588606
1440,26161,18,Taiwanese alone (412-419),792,8.61139048087102,6820.221260849848,,131.98410037455065
44,,18,Taiwanese alone (412-419),105737,,953706.9449199488,9.019614183492521,1.1007090893208815
