,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
1764,42101,33,Bangladeshi alone in any combination,1133,10.0601304260272,11398.127772688818,,1017.8445773439701
2272,24027,33,Bangladeshi alone in any combination,899,8.28530355971228,7448.487900181341,,614.8626724395017
3744,36061,33,Bangladeshi alone in any combination,1806,9.11068287012895,16453.893263452886,,0.0047851351432509895
3592,51107,33,Bangladeshi alone in any combination,1702,8.36112694384764,14230.638058428684,,960.399315250056
94,04013,33,Bangladeshi alone in any combination,1415,6.70777531571864,9491.502071741876,,8181.232906107952
2400,06001,33,Bangladeshi alone in any combination,539,9.64136846914229,5196.697604867694,,150.86728877156844
249,09003,33,Bangladeshi alone in any combination,886,7.32282137045952,6488.019734227135,,2837.212798630522
3181,36059,33,Bangladeshi alone in any combination,1891,8.30693423441172,15708.412637272562,,1226.5614589857007
2037,13135,33,Bangladeshi alone in any combination,1959,8.35386978995953,16365.23091853072,,1126.880459396658
1246,13089,33,Bangladeshi alone in any combination,1069,8.91584748278997,9531.040959102476,,41.26101090152524
845,36081,33,Bangladeshi alone in any combination,43365,9.26689393328259,401858.85541679955,,1036.2500441210439
3437,34001,33,Bangladeshi alone in any combination,2179,7.50533669436057,16354.12865701168,,5626.97378048819
3971,17031,33,Bangladeshi alone in any combination,1999,10.794362484756,21577.930607027243,,5655.767638835535
2374,26163,33,Bangladeshi alone in any combination,6131,10.0409224749586,61560.89569397118,,5286.883756073142
865,51153,33,Bangladeshi alone in any combination,727,8.00437063124064,5819.177448911945,,892.4150539780845
3637,48085,33,Bangladeshi alone in any combination,1196,8.75024321067156,10465.290879963186,,156.78700126371504
1739,36005,33,Bangladeshi alone in any combination,10592,9.37008895701274,99247.98223267894,,703.8349040943051
365,12011,33,Bangladeshi alone in any combination,1199,6.34167243402137,7603.665248391622,,9204.046727142864
1488,34023,33,Bangladeshi alone in any combination,1172,9.03069663050806,10583.976450955448,,7.806508727529666
143,26125,33,Bangladeshi alone in any combination,724,8.94169654602358,6473.788299321072,,21.075033980629595
1697,26099,33,Bangladeshi alone in any combination,3016,9.36348490977172,28240.27048787151,,190.27498472119095
4261,12099,33,Bangladeshi alone in any combination,1028,5.85781219868589,6021.830940249095,,10888.329267693782
1045,06037,33,Bangladeshi alone in any combination,5402,10.0245384042183,54152.55645958726,,4495.325761946278
1975,51059,33,Bangladeshi alone in any combination,3020,8.53482384337623,25775.168006996217,,1007.1427584071671
2902,51013,33,Bangladeshi alone in any combination,1233,8.98393781613181,11077.195327290521,,20.319318827045983
649,36047,33,Bangladeshi alone in any combination,10047,9.46112269766838,95055.8997434742,,1222.4171242082482
169,48439,33,Bangladeshi alone in any combination,1137,9.14167887342637,10394.088879085783,,0.9806558891998847
2520,24031,33,Bangladeshi alone in any combination,1762,8.82256236656146,15545.354889881291,,147.92703890117068
1086,42091,33,Bangladeshi alone in any combination,829,9.41243017423994,7802.90461444491,,74.66947708122834
2970,24033,33,Bangladeshi alone in any combination,1079,8.69711357937041,9384.185552140672,,186.0072824537276
3222,36029,33,Bangladeshi alone in any combination,689,8.8109609744516,6070.7521113971525,,62.569199386488314
1889,34013,33,Bangladeshi alone in any combination,978,9.48870949406163,9279.957885192274,,138.55923637336087
1553,34031,33,Bangladeshi alone in any combination,3034,9.04380157687351,27438.893984234226,,14.240046470518404
2806,36103,33,Bangladeshi alone in any combination,1802,7.76449699361168,13991.623582488248,,3273.516042022151
2636,25017,33,Bangladeshi alone in any combination,1638,6.47873808499852,10612.172983227576,,11360.683656822725
1181,48201,33,Bangladeshi alone in any combination,1313,9.69979688545933,12735.8333106081,,453.16896394624865
1138,42045,33,Bangladeshi alone in any combination,764,10.1338749128143,7742.280433390125,,797.3055104420678
3117,48113,33,Bangladeshi alone in any combination,2661,9.22988068041192,24560.71249057612,,36.78225422280597
448,06085,33,Bangladeshi alone in any combination,785,9.52476700749084,7476.94210088031,,133.544411829605
39,,33,Bangladeshi alone in any combination,124800,,1137216.365638541,9.112310622103694,0.7968926567340622
