,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
2223,37119,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",1278,8.54737696345696,10923.547759297995,,10.475642640704079
5161,55033,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",450,6.59651824315389,2968.4332094192505,,1875.2829635747237
2471,06059,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",1444,9.16850397509893,13239.319740042856,,406.5235780155738
5368,37023,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",2284,7.07227481696586,16153.075681950024,,5598.5982669846335
5304,06115,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",2206,8.16969847009909,18022.354825038594,,483.6114884012067
388,06099,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",780,9.60805142011029,7494.280107686026,,734.1103893717615
281,27053,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",18834,6.92972786625594,130514.49463306437,,54955.707800434684
5034,40041,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",259,6.94806928869284,1799.5499457714454,,739.5937144045375
5334,55117,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",4559,8.44876251430649,38517.908302723285,,163.1127085863859
2041,13135,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",1072,8.35386978995953,8955.348414836617,,86.48998016847818
1668,06019,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",30928,12.5756997634263,388941.24228324863,,479574.4842857831
954,27037,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",1768,6.48278388195267,11461.56190329232,,8211.625571997942
4936,27163,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",4588,6.6242352622871,30391.991383373217,,18603.88538897201
5177,37097,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",699,7.76825129505698,5430.007655244829,,528.6625951744156
5057,55073,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",5486,7.54606228750662,41397.697709261316,,6540.077521169769
3611,27123,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",38340,7.32246367501573,280743.2573001031,,66343.87373980034
1617,41051,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",1366,7.2704340966826,9931.412976068432,,2554.420693852621
5095,55141,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",788,7.64912692704919,6027.512018514762,,770.4270586920882
5352,29009,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",317,7.65316573475293,2426.053537916679,,307.4039616451545
3685,55009,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",4647,8.17787338506574,38002.57762040049,,983.4776299441165
2677,08001,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",2326,6.60124621517517,15354.498696497445,,9648.281743222613
3523,06107,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",1020,13.1984121638522,13462.380407129245,,21214.109019154133
403,06007,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",4453,7.82909703481818,34862.96909604536,,2913.0832355607286
687,55079,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",13110,9.10130853297599,119318.15486731523,,2815.172662198275
766,06073,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",2060,7.85726438502988,16185.964633161553,,1255.3915570317724
5360,55139,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",2279,8.11728494957903,18499.29240009061,,617.7327768854984
4837,27127,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",450,6.37160177719659,2867.2207997384653,,2311.2764108110605
468,06085,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",620,9.52476700749084,5905.3555446443215,,487.6354321136262
1046,06037,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",1723,10.0245384042183,17272.27967046813,,3312.8603910351258
2294,06023,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",1147,6.11006886973251,7008.248993583189,,7329.329500356788
3721,55133,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",750,8.3518535098784,6263.890132408799,,61.372830940219856
5363,55017,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",557,7.27609882736522,4052.7870468424276,,1032.9786628122777
5306,40131,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",313,8.00882333651689,2506.761704329787,,123.87122265200422
5078,13013,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",1525,8.1973479389335,12500.955606873587,,295.99976034086944
669,40143,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",2197,8.56969817024443,18827.626880027015,,10.223433277084863
1699,26099,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",1750,9.36348490977172,16386.098592100512,,921.2937263652846
4803,55071,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",1679,8.02403372817465,13472.352629605239,,632.7288646580768
3938,27083,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",398,6.67437196465174,2656.4000419313925,,1534.487490551534
328,06067,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",27525,9.06530229311215,249522.44561791193,,5027.743921874441
5270,55035,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",2068,7.26275007454221,15019.367154153291,,3910.7431816373623
3942,27145,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",659,6.37405939432562,4200.505140860583,,3377.398979432087
2368,26163,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",503,10.0409224749586,5050.584004904176,,990.122090263189
67,53033,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",1007,6.00819917603582,6050.25657026807,,6963.80634910641
2338,06077,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",8550,9.17663681807835,78460.2447945699,,2481.40306948653
519,20209,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",1066,8.45801045535062,9016.23914540376,,34.50128510014518
550,55109,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",432,6.54573480621258,2827.7574362838345,,1890.9558382599796
3085,06047,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",5919,10.0848509111274,59692.23254296308,,12392.179681045414
3874,55025,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",6413,8.18286288866624,52476.699705016596,,1327.9479584646288
5288,55087,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",3678,8.17161578776989,30055.202867417654,,799.7213598171069
2138,06065,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",1815,7.82369547038076,14200.007278741079,,1203.2567015623622
5244,37035,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",3228,7.83225866848495,25282.53098186942,,2095.2304169539016
5247,55097,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",1149,7.50243107927848,8620.293310090974,,1481.4296189784022
3371,42071,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",942,10.2029291433934,9611.159253076583,,2307.215438681966
3883,45083,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",1334,7.66962465880193,10231.279294841775,,1250.736652286831
5279,37167,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",673,8.16099697978047,5492.350967392255,,153.07356251569135
5116,55063,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",3866,7.36200960048152,28461.529115461555,,6293.582447478003
138,26125,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",942,8.94169654602358,8423.078146354213,,86.93153563654634
578,27003,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",3760,6.62968420155723,24927.612597855183,,15164.02653567476
58,,39,"Hmong alone or in any combination (422) & (100-299) or (300, A01-Z99) or (400-999)",235979,,2038366.2406754824,8.637913715523341,1.8124927446409709
