,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
1767,42101,14,Bangladeshi alone,1045,10.0601304260272,10512.836295198424,,940.9868967634835
833,36081,14,Bangladeshi alone,40916,9.26689393328259,379164.23217419046,,991.8081273591571
1223,13089,14,Bangladeshi alone,1059,8.91584748278997,9441.882484274578,,40.41485890096516
2804,36103,14,Bangladeshi alone,1645,7.76449699361168,12772.597554491214,,2983.393842876775
3109,48113,14,Bangladeshi alone,2422,9.22988068041192,22354.771007957672,,34.11320579015415
241,09003,14,Bangladeshi alone,880,7.32282137045952,6444.082806004378,,2814.507362315745
2378,26163,14,Bangladeshi alone,5782,10.0409224749586,58056.61375021063,,4997.850468578182
3962,17031,14,Bangladeshi alone,1875,10.794362484756,20239.4296589175,,5311.93235085618
4266,12099,14,Bangladeshi alone,905,5.85781219868589,5301.32003981073,,9579.011009410584
1084,42091,14,Bangladeshi alone,783,9.41243017423994,7369.932826429873,,71.04836927806075
2896,51013,14,Bangladeshi alone,1194,8.98393781613181,10726.821752461381,,19.33810630722647
3426,34001,14,Bangladeshi alone,2098,7.50533669436057,15746.196384768475,,5410.326749315113
1700,26099,14,Bangladeshi alone,2504,9.36348490977172,23446.166214068387,,159.37176713582136
2269,24027,14,Bangladeshi alone,816,8.28530355971228,6760.807704725221,,556.5997702586218
1884,34013,14,Bangladeshi alone,978,9.48870949406163,9279.957885192274,,139.37694653523664
1144,42045,14,Bangladeshi alone,704,10.1338749128143,7134.247938621267,,736.285946041343
106,04013,14,Bangladeshi alone,1263,6.70777531571864,8471.920223752642,,7295.666290968253
1732,36005,14,Bangladeshi alone,9770,9.37008895701274,91545.76911001447,,654.8114583667289
352,12011,14,Bangladeshi alone,1143,6.34167243402137,7248.531592086426,,8767.14348523857
1962,51059,14,Bangladeshi alone,2866,8.53482384337623,24460.805135116276,,952.1176156149368
482,06085,14,Bangladeshi alone,568,9.52476700749084,5410.067660254797,,97.14864791405614
1037,06037,14,Bangladeshi alone,4958,10.0245384042183,49701.66140811433,,4135.884919028925
853,51153,14,Bangladeshi alone,694,8.00437063124064,5555.033218081004,,850.2018960576846
661,36047,14,Bangladeshi alone,9349,9.46112269766838,88452.03610050167,,1144.736242670081
3596,51107,14,Bangladeshi alone,1294,8.36112694384764,10819.298265338846,,728.0199014540182
2652,25017,14,Bangladeshi alone,1593,6.47873808499852,10320.629769402643,,11039.273545718775
1473,34023,14,Bangladeshi alone,1172,9.03069663050806,10583.976450955448,,7.595789434573608
1555,34031,14,Bangladeshi alone,2866,9.04380157687351,25919.53531931948,,13.019556437719718
3632,48085,14,Bangladeshi alone,1183,8.75024321067156,10351.537718224456,,154.1341984185724
3732,36061,14,Bangladeshi alone,1536,9.11068287012895,13994.008888518068,,0.0004132969642005114
2965,24033,14,Bangladeshi alone,1064,8.69711357937041,9253.728848450115,,182.4428916539832
2058,13135,14,Bangladeshi alone,1820,8.35386978995953,15204.043017726344,,1043.863657350346
3178,36059,14,Bangladeshi alone,1719,8.30693423441172,14279.619948953747,,1111.9282469913805
142,26125,14,Bangladeshi alone,717,8.94169654602358,6411.196423498907,,20.60081603135444
2516,24031,14,Bangladeshi alone,1507,8.82256236656146,13295.60148640812,,125.55209288670736
1161,48201,14,Bangladeshi alone,1176,9.69979688545933,11406.961137300172,,407.41863575694134
36,,14,Bangladeshi alone,113864,,1037437.8581993404,9.111201593122852,0.8035324229052996
