,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
5280,37167,20,Hmong alone (422),662,8.16099697978047,5402.580000614671,,153.8715384902322
4836,27127,20,Hmong alone (422),450,6.37160177719659,2867.2207997384653,,2321.8902569831967
2242,37119,20,Hmong alone (422),1234,8.54737696345696,10547.46317290589,,11.309719936402622
1630,41051,20,Hmong alone (422),1235,7.2704340966826,8978.986109403011,,2327.040198632909
2496,06059,20,Hmong alone (422),1265,9.16850397509893,11598.157528500147,,349.18721097524536
3719,55133,20,Hmong alone (422),707,8.3518535098784,5904.760431484028,,59.9756436178268
5286,55087,20,Hmong alone (422),3538,8.17161578776989,28911.17665712987,,786.5262191064965
5269,55035,20,Hmong alone (422),1911,7.26275007454221,13879.115392450163,,3641.2145960034113
3939,27083,20,Hmong alone (422),398,6.67437196465174,2656.4000419313925,,1542.6221710302193
2157,06065,20,Hmong alone (422),1537,7.82369547038076,12025.019937975228,,1032.007158592408
2686,08001,20,Hmong alone (422),2266,6.60124621517517,14958.423923586935,,9447.437965370287
5077,13013,20,Hmong alone (422),1339,8.1973479389335,10976.248890231956,,266.06612173393086
79,53033,20,Hmong alone (422),691,6.00819917603582,4151.665630640751,,4797.448966105731
3374,42071,20,Hmong alone (422),851,10.2029291433934,8682.692701027783,,2070.5096215250533
3885,45083,20,Hmong alone (422),1289,7.66962465880193,9886.146185195688,,1221.5550135515907
3683,55009,20,Hmong alone (422),4203,8.17787338506574,34371.6018374313,,909.7244013543678
2336,06077,20,Hmong alone (422),8141,9.17663681807835,74707.00033597586,,2317.3302290894585
582,27003,20,Hmong alone (422),3535,6.62968420155723,23435.933652504806,,14330.498411701314
1674,06019,20,Hmong alone (422),29851,12.5756997634263,375397.2136380385,,461653.20637440734
5351,29009,20,Hmong alone (422),271,7.65316573475293,2074.007914118044,,265.5779647716738
1052,06037,20,Hmong alone (422),1632,10.0245384042183,16360.046675684265,,3114.4116480082726
3086,06047,20,Hmong alone (422),5685,10.0848509111274,57332.377429759275,,11816.913292186073
551,55109,20,Hmong alone (422),405,6.54573480621258,2651.022596516095,,1781.5904332328887
5056,55073,20,Hmong alone (422),5415,7.54606228750662,40861.927286848346,,6517.043648335082
1690,26099,20,Hmong alone (422),1667,9.36348490977172,15608.929344589458,,865.0695506387393
512,20209,20,Hmong alone (422),1066,8.45801045535062,9016.23914540376,,36.52368936180028
3524,06107,20,Hmong alone (422),940,13.1984121638522,12406.507434021069,,19505.718844324634
5305,40131,20,Hmong alone (422),313,8.00882333651689,2506.761704329787,,125.926595756815
5115,55063,20,Hmong alone (422),3829,7.36200960048152,28189.13476024374,,6284.238697398315
5301,06115,20,Hmong alone (422),2140,8.16969847009909,17483.154726012053,,479.6164481259039
4804,55071,20,Hmong alone (422),1676,8.02403372817465,13448.280528420715,,642.3390795982273
771,06073,20,Hmong alone (422),1860,7.85726438502988,14614.511756155576,,1148.653390591393
5335,55117,20,Hmong alone (422),4474,8.44876251430649,37799.76348900723,,168.98970474348445
5160,55033,20,Hmong alone (422),434,6.59651824315389,2862.888917528788,,1817.8279631671871
4939,27163,20,Hmong alone (422),4354,6.6242352622871,28841.920331998033,,17746.298801649096
2369,26163,20,Hmong alone (422),503,10.0409224749586,5050.584004904176,,982.799478473997
5359,55139,20,Hmong alone (422),2104,8.11728494957903,17078.76753391428,,581.7423093413164
956,27037,20,Hmong alone (422),1648,6.48278388195267,10683.627837458002,,7691.240946657782
686,55079,20,Hmong alone (422),12790,9.10130853297599,116405.7361367629,,2685.1911828637485
3865,55025,20,Hmong alone (422),6048,8.18286288866624,49489.954750653415,,1281.140126576415
3604,27123,20,Hmong alone (422),37455,7.32246367501573,274262.8769477142,,65325.65902513177
385,06099,20,Hmong alone (422),640,9.60805142011029,6149.152908870585,,595.9098716047538
5364,55017,20,Hmong alone (422),466,7.27609882736522,3390.6620535521924,,870.8251370738648
679,40143,20,Hmong alone (422),2191,8.56969817024443,18776.208691005548,,11.808410885960381
3943,27145,20,Hmong alone (422),633,6.37405939432562,4034.7795966081176,,3259.0620050794428
310,06067,20,Hmong alone (422),26260,9.06530229311215,238054.83821712507,,4680.716863344961
5367,37023,20,Hmong alone (422),2274,7.07227481696586,16082.352933780365,,5611.157947371579
124,26125,20,Hmong alone (422),911,8.94169654602358,8145.885553427482,,81.21844529030768
2297,06023,20,Hmong alone (422),1147,6.11006886973251,7008.248993583189,,7359.501420615011
283,27053,20,Hmong alone (422),18312,6.92972786625594,126897.17668687877,,53758.23175637426
2052,13135,20,Hmong alone (422),992,8.35386978995953,8287.038831639855,,82.99144353530019
5245,37035,20,Hmong alone (422),3228,7.83225866848495,25282.53098186942,,2122.3525718474098
414,06007,20,Hmong alone (422),4318,7.82909703481818,33806.040996344906,,2861.1907596676797
5246,55097,20,Hmong alone (422),1120,7.50243107927848,8402.722808791897,,1457.2898754388964
54,,20,Hmong alone (422),224304,,1938684.4673722868,8.64311143524987,1.8198427565744322
