,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
5014,48245,45,Pakistani alone in any combination,1476,9.36778964574092,13826.857517113598,,353.94907601426536
4860,26065,45,Pakistani alone in any combination,409,8.69174608376796,3554.9241482610955,,14.202581487780702
2083,11001,45,Pakistani alone in any combination,859,8.98079472529719,7714.502669030287,,9.060443127944998
444,36001,45,Pakistani alone in any combination,1986,7.18668601639032,14272.758428551177,,5681.662529917126
1796,32003,45,Pakistani alone in any combination,1000,6.30364284564558,6303.642845645581,,6627.79311265036
3115,48113,45,Pakistani alone in any combination,4528,9.22988068041192,41792.899720905174,,560.3610022624421
3440,34001,45,Pakistani alone in any combination,1580,7.50533669436057,11858.4319770897,,2977.4461937068613
1778,42101,45,Pakistani alone in any combination,3218,10.0601304260272,32373.49971095553,,4496.230465483202
3099,06101,45,Pakistani alone in any combination,1192,8.5510065151947,10192.799766112083,,127.52672431148781
213,12086,45,Pakistani alone in any combination,1736,6.47824733374993,11246.237371389878,,9998.073224860656
460,06085,45,Pakistani alone in any combination,5882,9.52476700749084,56024.67953806112,,2459.778249695395
1541,48029,45,Pakistani alone in any combination,1651,8.87285395214993,14649.081874999534,,0.04531439637420585
1711,29189,45,Pakistani alone in any combination,2208,9.69001909127948,21395.562153545092,,1455.5668802199561
2141,06065,45,Pakistani alone in any combination,3420,7.82369547038076,26757.0385087022,,3802.1985158099187
1684,06019,45,Pakistani alone in any combination,794,12.5756997634263,9985.105612160482,,10855.803399530234
3459,08005,45,Pakistani alone in any combination,961,5.89563569364147,5665.705901589453,,8548.144032953523
1175,48201,45,Pakistani alone in any combination,20904,9.69979688545933,202764.55409364184,,14114.327077838843
3011,53061,45,Pakistani alone in any combination,865,5.56136405994379,4810.579911851378,,9515.597055417946
4682,51179,45,Pakistani alone in any combination,684,7.34319508370748,5022.745437255916,,1611.4433459686168
3007,49035,45,Pakistani alone in any combination,638,7.03761323308293,4489.99724270691,,2161.139141779001
1083,42091,45,Pakistani alone in any combination,941,9.41243017423994,8857.096793959783,,268.67085369139295
2209,06013,45,Pakistani alone in any combination,2556,8.44669782001382,21589.759627955325,,475.6759966038573
1736,36005,45,Pakistani alone in any combination,3563,9.37008895701274,33385.62695383639,,862.4601873521698
