,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
447,06085,44,"Malaysian alone or in any combination (443) & (100-299) or (300, A01-Z99) or (400-999)",689,9.52476700749084,6562.564468161189,,111.01482332068606
92,53033,44,"Malaysian alone or in any combination (443) & (100-299) or (300, A01-Z99) or (400-999)",706,6.00819917603582,4241.788618281289,,6851.200799046105
3740,36061,44,"Malaysian alone or in any combination (443) & (100-299) or (300, A01-Z99) or (400-999)",836,9.11068287012895,7616.530879427803,,0.1344330838389855
2473,06059,44,"Malaysian alone or in any combination (443) & (100-299) or (300, A01-Z99) or (400-999)",984,9.16850397509893,9021.807911497348,,2.005036247434738
849,36081,44,"Malaysian alone or in any combination (443) & (100-299) or (300, A01-Z99) or (400-999)",1760,9.26689393328259,16309.733322577358,,36.25759961748414
2423,06001,44,"Malaysian alone or in any combination (443) & (100-299) or (300, A01-Z99) or (400-999)",518,9.64136846914229,4994.228867015706,,138.99435585624764
1060,06037,44,"Malaysian alone or in any combination (443) & (100-299) or (300, A01-Z99) or (400-999)",1518,10.0245384042183,15217.24929760338,,1232.791675521923
7,,44,"Malaysian alone or in any combination (443) & (100-299) or (300, A01-Z99) or (400-999)",7011,,63963.903364564074,9.123363766162328,1.092785610812408
