,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
228,06055,17,Chinese (except Taiwanese) alone (410-411),1067,7.83478434988717,8359.71490132961,,801.579639726326
3274,37183,17,Chinese (except Taiwanese) alone (410-411),11201,7.62510236028471,85408.77153754904,,12978.533017104608
3142,34037,17,Chinese (except Taiwanese) alone (410-411),694,7.23509578320437,5021.156473543833,,1492.3957420706358
2436,36119,17,Chinese (except Taiwanese) alone (410-411),12993,8.37962341455654,108876.44702533314,,1346.375635930806
2672,08001,17,Chinese (except Taiwanese) alone (410-411),2227,6.60124621517517,14700.975321195103,,9823.714418513697
1439,26161,17,Chinese (except Taiwanese) alone (410-411),10127,8.61139048087102,87207.55139978082,,82.28124713451294
1813,36079,17,Chinese (except Taiwanese) alone (410-411),807,6.7547879375188,5451.113865577671,,3058.368961846411
4070,12081,17,Chinese (except Taiwanese) alone (410-411),944,6.34384275526356,5988.5875609688,,5247.3977393816895
442,36001,17,Chinese (except Taiwanese) alone (410-411),4193,7.18668601639032,30133.77446672461,,9621.882637190733
666,36047,17,Chinese (except Taiwanese) alone (410-411),200333,9.46112269766838,1895375.0933919994,,115588.6770067135
3490,17089,17,Chinese (except Taiwanese) alone (410-411),1666,8.93582712703462,14887.087993639678,,91.45615349924906
4293,06061,17,Chinese (except Taiwanese) alone (410-411),3925,7.4085300130011,29078.480301029314,,6561.996219291001
967,45079,17,Chinese (except Taiwanese) alone (410-411),1871,7.97597903085534,14923.056766730342,,984.936759375342
1722,45051,17,Chinese (except Taiwanese) alone (410-411),1184,6.82796404009046,8084.309423467105,,4156.130500215686
3768,53063,17,Chinese (except Taiwanese) alone (410-411),1843,9.34114623851653,17215.732517585962,,753.990311688743
2425,06001,17,Chinese (except Taiwanese) alone (410-411),149683,9.64136846914229,1443148.9565666253,,132214.75145819096
4824,25001,17,Chinese (except Taiwanese) alone (410-411),810,6.11319647557993,4951.689145219743,,5426.5665178659065
1835,53035,17,Chinese (except Taiwanese) alone (410-411),908,5.06676204656497,4600.619938280993,,11996.06943598504
959,27037,17,Chinese (except Taiwanese) alone (410-411),2351,6.48278388195267,15241.024906470728,,11573.572245590572
4820,12033,17,Chinese (except Taiwanese) alone (410-411),1233,7.69246113998098,9484.804585596548,,1255.462525633383
1466,34015,17,Chinese (except Taiwanese) alone (410-411),1232,8.86373505241287,10920.121584572657,,32.41494227198971
1184,48201,17,Chinese (except Taiwanese) alone (410-411),47924,9.69979688545933,464853.0659387529,,47758.13183291841
1472,34023,17,Chinese (except Taiwanese) alone (410-411),28191,9.03069663050806,254584.36871065275,,3054.5338212340894
4063,42069,17,Chinese (except Taiwanese) alone (410-411),649,8.27179453112103,5368.394650697548,,119.85189695252664
3509,24025,17,Chinese (except Taiwanese) alone (410-411),877,8.49967772287257,7454.217362959244,,35.7324049625802
1929,45045,17,Chinese (except Taiwanese) alone (410-411),1855,7.76563718251427,14405.256973563972,,1624.7821496638305
3284,39093,17,Chinese (except Taiwanese) alone (410-411),806,9.65114775398532,7778.825089712168,,726.8314012310929
222,12086,17,Chinese (except Taiwanese) alone (410-411),12840,6.47824733374993,83180.6957653491,,63467.87612518037
4842,18157,17,Chinese (except Taiwanese) alone (410-411),6277,9.02173478278736,56629.42923155626,,643.5920791073252
1994,25021,17,Chinese (except Taiwanese) alone (410-411),33619,6.50724636525304,218767.11555344195,,161871.3137228791
3779,22071,17,Chinese (except Taiwanese) alone (410-411),1269,9.12529706906631,11580.001980645147,,227.88631588249243
4853,45063,17,Chinese (except Taiwanese) alone (410-411),1174,7.49601399956553,8800.320435489934,,1706.1345429978123
5284,55087,17,Chinese (except Taiwanese) alone (410-411),520,8.17161578776989,4249.240209640342,,146.02012177401045
991,31055,17,Chinese (except Taiwanese) alone (410-411),2296,6.90902409700064,15863.11932671347,,7377.21683944642
454,06085,17,Chinese (except Taiwanese) alone (410-411),158563,9.52476700749084,1510275.63100877,,107461.46708889901
1452,51550,17,Chinese (except Taiwanese) alone (410-411),1080,8.13448037946258,8785.238809819586,,347.26756970006187
3064,53011,17,Chinese (except Taiwanese) alone (410-411),3142,6.61530872551209,20785.300015558987,,13674.972771942785
