,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
472,06085,40,Indonesian alone in any combination,2314,9.52476700749084,22040.310855333806,,1024.2811612131063
2193,06013,40,Indonesian alone in any combination,1381,8.44669782001382,11664.889689439087,,235.27442433747757
1974,51059,40,Indonesian alone in any combination,921,8.53482384337623,7860.572759749508,,97.05760294038123
1801,32003,40,Indonesian alone in any combination,767,6.30364284564558,4834.89406261016,,5010.163476730147
1172,48201,40,Indonesian alone in any combination,1947,9.69979688545933,18885.504535989316,,1374.9345226000316
3965,17031,40,Indonesian alone in any combination,731,10.794362484756,7890.678976356636,,2736.7778249304047
2427,06001,40,Indonesian alone in any combination,2336,9.64136846914229,22522.236743916386,,1428.2182317612637
3454,08005,40,Indonesian alone in any combination,1039,5.89563569364147,6125.565485693487,,9126.785557576917
334,06067,40,Indonesian alone in any combination,666,9.06530229311215,6037.491327212692,,28.22156262906269
2532,24031,40,Indonesian alone in any combination,1738,8.82256236656146,15333.613393083817,,2.3650317581412112
827,36081,40,Indonesian alone in any combination,3110,9.26689393328259,28820.040132508857,,516.2900805541362
664,36047,40,Indonesian alone in any combination,771,9.46112269766838,7294.52559990232,,279.10872769055675
3330,06071,40,Indonesian alone in any combination,6362,8.61698249388515,54821.24262609732,,374.02846359710196
4,06081,40,Indonesian alone in any combination,944,8.62868769305074,8145.481182239898,,50.26964674232065
2493,06059,40,Indonesian alone in any combination,4683,9.16850397509893,42936.10411538829,,447.29059644767375
1055,06037,40,Indonesian alone in any combination,13817,10.0245384042183,138509.04713108425,,18755.588955882627
2160,06065,40,Indonesian alone in any combination,2260,7.82369547038076,17681.551763060517,,2424.5047205279398
761,06073,40,Indonesian alone in any combination,2254,7.85726438502988,17710.27392385735,,2263.8684346961886
109,04013,40,Indonesian alone in any combination,1007,6.70777531571864,6754.729742928671,,4662.116589255946
1348,06075,40,Indonesian alone in any combination,1464,7.9258551486833,11603.451937672351,,1276.0244171511283
64,53033,40,Indonesian alone in any combination,2322,6.00819917603582,13951.038486755175,,18877.01819432432
1762,42101,40,Indonesian alone in any combination,1478,10.0601304260272,14868.872769668202,,2130.7304300863816
3021,53061,40,Indonesian alone in any combination,1410,5.56136405994379,7841.523324520744,,15337.103042567607
195,06111,40,Indonesian alone in any combination,892,8.33556426989329,7435.323328744815,,244.81599914526748
24,,40,Indonesian alone in any combination,56614,,501568.96389381366,8.859451087960817,1.2517189769842356
