,FIPS,pred_wght
0,01001,7.67669589067453
1,01003,7.37188262562752
2,01005,7.23860526568817
3,01007,7.92794758411521
4,01009,7.98757899113778
5,01011,7.31237728880337
6,01013,7.64891063923235
7,01015,8.82829590932092
8,01017,8.45545269150957
9,01019,7.92834617338105
10,01021,8.18459248401806
11,01023,7.1982895721192
12,01025,7.13518864824062
13,01027,8.04679004234855
14,01029,8.00336846847449
15,01031,7.13598690037639
16,01033,8.58319194899684
17,01035,7.38216951390989
18,01037,7.70028981714187
19,01039,7.44776865589832
20,01041,7.01790164101827
21,01043,8.31657058229485
22,01045,6.90698227099958
23,01047,8.29577454815153
24,01049,8.12535694454992
25,01051,7.46605922764586
26,01053,7.77668161486469
27,01055,8.96050855424686
28,01057,7.47898411693057
29,01059,7.93747195085794
30,01061,7.22342611160881
31,01063,7.85428445328911
32,01065,8.17504017068528
33,01067,6.85296095538088
34,01069,7.21710350497799
35,01071,7.94886305653146
36,01073,9.15443747528346
37,01075,7.12996520667399
38,01077,8.21006275064988
39,01079,8.08788404904045
40,01081,8.04842752721983
41,01083,8.15990281268875
42,01085,7.57887094964156
43,01087,7.0953334421033
44,01089,8.39204419245485
45,01091,8.01907423788462
46,01093,7.42542457174422
47,01095,8.49652742901988
48,01097,8.27373707255831
49,01099,7.7672718202705
50,01101,8.70788771227268
51,01103,8.47600913791949
52,01105,8.00925513077141
53,01107,7.72548079205915
54,01109,7.22487859479012
55,01111,8.04738153144503
56,01113,7.79883344174363
57,01115,8.14008144102975
58,01117,8.53924350754799
59,01119,7.97630463925016
60,01121,8.68949980739085
61,01123,7.84576344386774
62,01125,8.64668129900953
63,01127,7.99269508064396
64,01129,7.01664570502247
65,01131,7.70840832647815
66,01133,7.41207920968796
67,05001,8.58737348020401
68,05003,8.06780084656569
69,05005,7.36315703153229
70,05007,7.60306620780793
71,05009,7.51926634690947
72,05011,8.14732698470629
73,05013,7.49502149403875
74,05015,6.92866267507105
75,05017,7.88555844067797
76,05019,8.31409618351816
77,05021,7.87700405459181
78,05023,7.13156334655372
79,05025,7.6605362964668
80,05027,8.37775974421636
81,05029,8.34141322286466
82,05031,8.12448944298705
83,05033,7.78141964615484
84,05035,8.26731904542061
85,05037,8.16365284890879
86,05039,8.60006769837358
87,05041,8.40618189345019
88,05043,8.18914748608785
89,05045,8.95532169034856
90,05047,7.87896359834483
91,05049,7.23899385871784
92,05051,8.27781134914188
93,05053,8.16884749845964
94,05055,7.99366518793062
95,05057,8.81239937635455
96,05059,8.43488694377791
97,05061,8.72654872869679
98,05063,7.72355916227795
99,05065,7.17195876679322
100,05067,8.02842418958715
101,05069,9.22800641441209
102,05071,7.72833214839468
103,05073,8.25193347809025
104,05075,8.00194929371232
105,05077,7.5740317210284
106,05079,7.70273498584972
107,05081,8.65443685521221
108,05083,8.09437028765714
109,05085,8.88427798803324
110,05087,6.59829715849081
111,05089,7.33384510718789
112,05091,8.6174450082831
113,05093,7.59486916308089
114,05095,8.0312741894711
115,05097,7.36373405713081
116,05099,8.62347866955652
117,05101,6.56082660144058
118,05103,8.14847465352221
119,05105,8.15028152896122
120,05107,7.90018374362274
121,05109,7.86221464706403
122,05111,7.91319973599642
123,05113,7.73086589439551
124,05115,8.35580937688247
125,05117,8.02374030751578
126,05119,9.45920419275868
127,05121,7.22417715621348
128,05123,7.95283307169651
129,05125,8.77753895096996
130,05127,7.73974486869047
131,05129,7.03902940329469
132,05131,8.12412104346927
133,05133,8.28451987571814
134,05135,7.08479457831325
135,05137,7.04874903098273
136,05139,8.01743843295949
137,05141,6.69780678057242
138,05143,7.73348439184498
139,05145,8.60529819450931
140,05147,8.03319519146005
141,05149,8.43404132431823
142,04001,2.83017340347884
143,04003,4.280679797786
144,04005,3.81990917103726
145,04007,4.06093896076273
146,04009,4.02800428076303
147,04011,3.6701173995496
148,04012,5.1522516213578
149,04013,6.70777531571864
150,04015,4.626854005375
151,04017,3.26234155748309
152,04019,5.20151422183638
153,04021,5.73515135519068
154,04023,4.88222653247575
155,04025,4.11389000895594
156,04027,7.17982753360136
157,06001,9.64136846914229
158,06003,3.72586137021277
159,06005,5.85683276259484
160,06007,7.82909703481818
161,06009,5.71822035543464
162,06011,7.87830152761567
163,06013,8.44669782001382
164,06015,5.6520554372597
165,06017,5.6859703127727
166,06019,12.5756997634263
167,06021,8.10192621364057
168,06023,6.11006886973251
169,06025,7.94575346763843
170,06027,5.7788215582875
171,06029,12.7165061815012
172,06031,13.1460830121844
173,06033,4.6173513160133
174,06035,5.37008489267803
175,06037,10.0245384042183
176,06039,10.3301170339708
177,06041,7.54624044447702
178,06043,5.93248503479261
179,06045,5.34983302558031
180,06047,10.0848509111274
181,06049,5.82720438467892
182,06051,4.66992626038586
183,06053,6.43788704170752
184,06055,7.83478434988717
185,06057,5.23848760196023
186,06059,9.16850397509893
187,06061,7.4085300130011
188,06063,6.18768260658769
189,06065,7.82369547038076
190,06067,9.06530229311215
191,06069,6.69230492645063
192,06071,8.61698249388515
193,06073,7.85726438502988
194,06075,7.9258551486833
195,06077,9.17663681807835
196,06079,7.78873338306686
197,06081,8.62868769305074
198,06083,8.48295767808066
199,06085,9.52476700749084
200,06087,6.60477066574689
201,06089,6.50023187193536
202,06091,5.03326297530864
203,06093,6.4359469077951
204,06095,8.18899763531102
205,06097,7.39890758693307
206,06099,9.60805142011029
207,06101,8.5510065151947
208,06103,7.01008814206703
209,06105,4.90992033004497
210,06107,13.1984121638522
211,06109,5.95922358240766
212,06111,8.33556426989329
213,06113,8.78828613435964
