fips,pollutant,year,pred_wght,state_abbr,lat,lon
01001,pm25,2015,7.67669589067453,AL,32.5003834362574,-86.4941863095784
01003,pm25,2015,7.37188262562752,AL,30.5489234597975,-87.7624661267934
01005,pm25,2015,7.23860526568817,AL,31.844037170849,-85.3099291036894
01007,pm25,2015,7.92794758411521,AL,33.0309175081824,-87.1276552171067
01009,pm25,2015,7.98757899113778,AL,33.9552458863961,-86.5914017358082
01011,pm25,2015,7.31237728880337,AL,32.1163263239875,-85.7012016767455
01013,pm25,2015,7.64891063923235,AL,31.7735384255502,-86.6535113381391
01015,pm25,2015,8.82829590932092,AL,33.7254592289917,-85.8194041156428
01017,pm25,2015,8.45545269150957,AL,32.8604373549613,-85.2665193131667
01019,pm25,2015,7.92834617338105,AL,34.1793328177306,-85.6291974873985
01021,pm25,2015,8.18459248401806,AL,32.8775458813555,-86.6874431684348
01023,pm25,2015,7.1982895721192,AL,32.0165601991486,-88.2640986867739
01025,pm25,2015,7.13518864824062,AL,31.6856855688461,-87.8156289900515
01027,pm25,2015,8.04679004234855,AL,33.2724118647717,-85.8201634366925
01029,pm25,2015,8.00336846847449,AL,33.6297725687951,-85.4943021172856
01031,pm25,2015,7.13598690037639,AL,31.3544328281413,-85.9047387563066
01033,pm25,2015,8.58319194899684,AL,34.723386742118,-87.6851492430367
01035,pm25,2015,7.38216951390989,AL,31.4186742062292,-86.9964653008769
01037,pm25,2015,7.70028981714187,AL,32.9759307825635,-86.1550470838028
01039,pm25,2015,7.44776865589832,AL,31.2824476525884,-86.4109901787369
01041,pm25,2015,7.01790164101827,AL,31.7434873364016,-86.2971077880052
01043,pm25,2015,8.31657058229485,AL,34.1623623187324,-86.8318169539587
01045,pm25,2015,6.90698227099958,AL,31.3833472428409,-85.6412591351416
01047,pm25,2015,8.29577454815153,AL,32.408817644911,-87.0349354176175
01049,pm25,2015,8.12535694454992,AL,34.4551124231813,-85.8170365438974
01051,pm25,2015,7.46605922764586,AL,32.5596509123236,-86.2256190787234
01053,pm25,2015,7.77668161486469,AL,31.0887395286933,-87.2820031159477
01055,pm25,2015,8.96050855424686,AL,34.0136935545341,-86.0254075418941
01057,pm25,2015,7.47898411693057,AL,33.7264221912882,-87.7703689461168
01059,pm25,2015,7.93747195085794,AL,34.4604786083775,-87.7935719436033
01061,pm25,2015,7.22342611160881,AL,31.0942633407988,-85.7888372676372
01063,pm25,2015,7.85428445328911,AL,32.8305065892758,-87.9240129906025
01065,pm25,2015,8.17504017068528,AL,32.7758078743655,-87.6260905583756
01067,pm25,2015,6.85296095538088,AL,31.4785937059299,-85.2687750433476
01069,pm25,2015,7.21710350497799,AL,31.204549459856,-85.3912339054822
01071,pm25,2015,7.94886305653146,AL,34.731985509234,-85.9385545606553
01073,pm25,2015,9.15443747528346,AL,33.5186013794182,-86.8146198450641
01075,pm25,2015,7.12996520667399,AL,33.7627716012085,-88.1096653941225
01077,pm25,2015,8.21006275064988,AL,34.8661797894487,-87.60875268852
01079,pm25,2015,8.08788404904045,AL,34.5436792102274,-87.2724334954425
01081,pm25,2015,8.04842752721983,AL,32.5880936005761,-85.3458889124188
